spanish_src,english_ref,model_output,input_ppl,hit_max_tokens,spanish_tokens,english_ref_tokens,output_tokens,spanish_chars,english_ref_chars,output_chars,spanish_fertility,english_ref_fertility,output_fertility,is_empty,is_repetitive,has_spanish_leak,length_ratio,is_too_short,is_too_long
"Antes de eso, le dijo a algunas personas que en Cerro Chalpón, Cerro Rajado y Cerro Penachí, había dejado enormes cruces hechas con sus propias manos con la madera del árbol de guayacán. Las cruces debían ser encontradas para que fueran las protectoras de toda la zona. ","Previously, he had let some people know that in Cerro Chalpón, Cerro Rajado and Cerro Penachí, he had left behind huge crosses made with his own hands out of wood from the guayacán tree; those crosses were to be found and considered the protectors of the whole area. ",,28.375,True,85,66,0,223,219,0,0.3811659192825112,0.3013698630136986,0.0,True,False,False,0.0,True,False
"Ahora se teme que la campaña podría exponer al Congreso a ataques de la oposición, que podría alegar que el partido fue responsable por la existencia de las barriadas. ","It is now feared that the campaign could expose Congress to attacks from the Opposition, which would argue that the party was responsible for the existence of slums. ","Now you fear that the campaign could expose the opposition to attacks, which could allege that the party was responsible for the existence of the barriers.",18.875,True,51,32,28,139,138,130,0.3669064748201439,0.2318840579710145,0.2153846153846154,False,False,False,0.875,False,False
"Aunque en teoría Fiyi está suspendido del grupo de las ex colonias británicas desde el golpe de diciembre de 2006, el Grupo de Acción Ministerial de la Mancomunidad convirtió la situación en definitiva el 1° de setiembre. ","While Fiji technically has been suspended from the group of former British colonies since its December 2006 coup, the Commonwealth Ministerial Action Group made the disbandment full on September 1. ","The British government has suspended Fiyi from the British-controlled territories since December 2006, but the group of British colonies has re-established itself as a sovereign state.",23.125,True,69,37,34,185,168,159,0.372972972972973,0.22023809523809523,0.2138364779874214,False,False,False,0.918918918918919,False,False
"Nuestra parada final es Siria, donde el blogger Yaser Arwani enlaza a una nueva historia que dice que el primer caso de gripe porcina en Siria fue recientemente informado a las autoridades sanitarias, de una doctora siria que trabaja en Australia y que estaba de visita en su país. ","Our final stop is in Syria, where blogger Yaser Arwani links to a news story which says that Syria's first swine flu case was recently reported in a Syrian doctor, who works in Australia and was on a visit to her country. ","The final stop is Syria, where the blogger Yaser Arwani enlazes a new story that says the first case of chickenpox in Syria was recently notified to the authorities, a Syrian doctor who works in Australia and was on her country’s visit.",30.625,True,77,50,55,233,180,195,0.33047210300429186,0.2777777777777778,0.28205128205128205,False,False,False,1.1,False,False
"PsicotravelMx (@PsicotravelMx) recordó que no sólo los capitalinos, sino aquellos que dejan de recibir la educación que los agremiados de la CNTE deberían impartir, son también afectados: ","PsicotravelMx (@PsicotravelMx) remembered that not only those who live in the capital, but those who fail to receive the education that CNTE members should provided, are also affected: ","PsicotravelMx (@PsicotravelMx) recordó que no sólo los capitalinos, sino aquellos que dejan de recibir la educación que los agremiados de la CNTE deberían impartir, are also affected:",32.5,True,60,45,57,161,157,157,0.37267080745341613,0.28662420382165604,0.3630573248407643,False,False,True,1.2666666666666666,False,False
"@iAMneshynsky: La gente debería dejar de llegar a conclusiones apresuradas y no decir que es un ataque de Al Shabaab... en este momento, podría ser cualquier cosa. #NairobiBlast ",@iAMneshynsky: people should stop jumping into conclusion and say its an al shabaab atack..it could be anything at this point #NairobiBlast ,"@iAMneshynsky: People should stop thinking that it is an attack on Nairobi, it could be anything. #NairobiBlast",54.5,True,57,39,33,150,119,95,0.38,0.3277310924369748,0.3473684210526316,False,False,False,0.8461538461538461,False,False
"Otro blogger, Ayman Youssef Mansour, fue condenado en octubre por una corte civil a tres años de prisión por insultar a la religión en su página de Facebook. ","Another blogger, Ayman Youssef Mansour, was sentenced in October by a civilian court to three years in prison for insulting religion on his Facebook page. ","The case of the blogger Ayman Youssef Mansour, who was sentenced to three years in prison for insulting Islam on his Facebook page, was heard in court on October 30, 2017.",23.5,True,47,33,39,130,130,141,0.36153846153846153,0.25384615384615383,0.2765957446808511,False,False,False,1.1818181818181819,False,False
“Amenaza de devaluación” - crisis financiera en EEUU ,"""Threat of devaluation"" - financial crisis in the USA ",“Amenaza de devaluación” - crisis financiera en EEUU,112.0,True,18,15,17,45,45,45,0.4,0.3333333333333333,0.37777777777777777,False,False,True,1.1333333333333333,False,False
"Khatuna y yo caminábamos con los niños en el parque, está casi vacío, y luego los llevamos a McDonalds' - prohibido en los tiempos de paz, se ve tan tentador en los tiempos de guerra. ","Khatuna and I were walking with kids , it's almost empty, and we took them to McDonalds' - banned in peaceful times, it seems so attractive in the time of war. ","The children were playing in the park, it's almost empty, and then we took them to McDonalds' - prohibited in the times of peace, it's so tempting in the times of war.",27.875,True,61,41,41,149,129,136,0.40939597315436244,0.3178294573643411,0.3014705882352941,False,False,False,1.0,False,False
"Los encargados de demostrar que realmente no están generando daños son las empresas, y no las comunidades con un acceso restringido a la información y sin el poder necesario para demostrar que la venta de sus tierras los está afectando negativamente. ","Companies should have to prove they are doing no harm, rather than communities with little information or power having to prove that a land deal is negatively affecting them. ",,14.25,True,68,33,0,210,146,0,0.3238095238095238,0.22602739726027396,0.0,True,False,False,0.0,True,False
"@MOSS_from_MARS @livilodge @shacut que haya paz durante el período de elecciones en #Zambia, decid a la gente que no ayuda nada al país que haya baño de sangre. ","@MOSS_from_MARS @livilodge @shacut lets make the election period peaceful in #Zambia, tell ppl it doesnt help the country 2hav bloody fights ","@MOSS_from_MARS @livilodge @shacut that there is peace during the period of elections in #Zambia, decide people that there is no help for the country that has bloodshed.",99.0,True,57,41,47,133,120,143,0.42857142857142855,0.3416666666666667,0.32867132867132864,False,False,False,1.146341463414634,False,False
"""Antes de la última elección parlamentaria, la blogósfera armenia adquirió gran fuerza y la política se convirtió en la fuerza motriz detrás de los blogs,"" escribió el analista local Samvel Martirosyan en su nuevo blog en armenio. ","“Before the last parliamentary election, the Armenian blogosphere gained serious strength and politics became the driving force behind blogs,"" wrote local analyst Samvel Martirosyan on his new Armenian-language blog . ","""Before the last parliamentary election, the Armenian blogosphere acquired great strength and politics became the driving force behind blogs,"" wrote the local analyst in Armenia.",27.875,True,70,41,31,194,188,154,0.36082474226804123,0.21808510638297873,0.2012987012987013,False,False,False,0.7560975609756098,False,False
"Desde que la empresa Reñaca Concón S.A. inició las gestiones para edificar un complejo inmobiliario en el delicado y único ecosistema de las Dunas de Concón, comenzó la lucha de los vecinos por impedir el desarrollo. ",Ever since the company Reñaca Concón S.A. (Reconsa) started its efforts to build a real-state complex on the delicate and unique ecosystem of the Concon Dunes neighbors began their struggle to prevent this development. ,,16.125,True,74,51,0,181,185,0,0.4088397790055249,0.2756756756756757,0.0,True,False,False,0.0,True,False
@wael: trabajadores de transporte público anuncian huelga en apoyo de la revolución #jan25 ,@wael: public transport workers announce strike in support of revolution #jan25 ,@wael: workers of public transport announce strike in support of the revolution #jan25,66.0,True,29,17,18,78,69,74,0.3717948717948718,0.2463768115942029,0.24324324324324326,False,False,False,1.0588235294117647,False,False
Y quienes de nuevo sufren los peor somos nosotros - tú y yo. ,And the people that again bear the brunt are us – you and I. ,Whoever suffers the worst are we - you and I.,58.0,True,23,17,12,48,47,36,0.4791666666666667,0.3617021276595745,0.3333333333333333,False,False,False,0.7058823529411765,False,False
"Si comparas mis requisitos de trabajo y calificaciones con cualquier otro profesional en el sector gubernamental, a mí me pagan al menos 50% menos. ","If you compare my job requirements and qualification to any other professional in the government sector, I am being underpaid by at least 50%. ",,33.0,True,40,28,0,124,119,0,0.3225806451612903,0.23529411764705882,0.0,True,False,False,0.0,True,False
Un bloqueo israelí ha sumergido Gaza en la oscuridad disparando los llamamientos internacionales y el enfado en las calles árabes para detener la carnicería. ,"An Israeli blockade has plunged Gaza in darkness, sparking international calls and anger on the Arab street to stop the carnage. ","The Israeli blockade of Gaza has plunged the Gaza Strip into darkness, with calls for international intervention and anger in the Arab world.",22.75,True,48,26,25,134,108,119,0.3582089552238806,0.24074074074074073,0.21008403361344538,False,False,False,0.9615384615384616,False,False
O podemos recuperar el control con la nacionalización. ,Or we can regain the control by nationalization. ,We can recover control with nationalization.,127.0,True,14,11,8,47,41,39,0.2978723404255319,0.2682926829268293,0.20512820512820512,False,False,False,0.7272727272727273,False,False
Documental sobre independencia catalana bate récords de recaudación colectiva ,Crowdfunders Empty Pockets for Catalan Independence · Global Voices ,Documental about Catalan independence,252.0,True,20,16,6,69,59,34,0.2898550724637681,0.2711864406779661,0.17647058823529413,False,False,True,0.375,False,False
"En Khaled Rambles, Khaled A. escribe: ","At Khaled Rambles, Khaled A. writes: ","En Khaled Rambles, Khaled A. writes:",334.0,True,15,14,13,32,31,31,0.46875,0.45161290322580644,0.41935483870967744,False,False,False,0.9285714285714286,False,False
"Ha atacado frecuentemente a la oposición por sus nexos con los Estados Unidos y otras ONGs internacionales (tales nexos existen, por supuesto), resaltando específicamente a los Estados Unidos por su ayuda “política”. ","It has frequently attacked the opposition for its ties to the US & other international NGOs (such ties do exist, of course), specifically singling out the US for its “political” aid. ",,20.375,True,65,40,0,185,152,0,0.35135135135135137,0.2631578947368421,0.0,True,False,False,0.0,True,False
"En líneas generales, es una comunidad de gente que se conoce y vive en una ciudad. ","Generally speaking, this is a community of people who know each other and live in one city. ",,18.0,True,26,20,0,67,75,0,0.3880597014925373,0.26666666666666666,0.0,True,False,False,0.0,True,False
Pero el tiempo no estaba de su lado. ,But time was not on her side. ,But the time was not on his side.,52.0,True,11,9,9,29,23,26,0.3793103448275862,0.391304347826087,0.34615384615384615,False,False,False,1.0,False,False
Pero estos clanes y grupos son piezas de la misma maquinaria -brotes de la misma semilla. ,But these clans and groups are pieces of the same machine—sprouts from the same seed. ,These clans and groups are the same material -brotes of the same seed.,38.75,True,29,21,17,74,71,58,0.3918918918918919,0.29577464788732394,0.29310344827586204,False,False,False,0.8095238095238095,False,False
@abuaardvark: Primera pregunta de la prensa kuwaití: ¿cómo podemos confiar en Estados Unidos si Gingrich niega la identidad palestina? ,@abuaardvark: First question from Kuwaiti press: how can we trust US when Gingrich denies Palestinian identity? ,@abuaardvark: First question of the press in Kuwait: How can we trust America if Gingrich refuses to identify the Palestinian people?,46.75,True,46,28,31,116,96,113,0.39655172413793105,0.2916666666666667,0.2743362831858407,False,False,False,1.1071428571428572,False,False
"Me gustaría que la gente se diera cuenta, es como la televisión. ","I wish people would realise, it's like television. ","I would like people to realize, it's like television.",20.375,True,21,12,12,53,43,45,0.39622641509433965,0.27906976744186046,0.26666666666666666,False,False,False,1.0,False,False
"Tras la prematura muerte de la cantante Whitney Houston, unos cuantos blogueros caribeños hablan sobre su talento, música y legado. ","Following the untimely death of singer Whitney Houston, a handful of Caribbean bloggers are talking about her talent, her music and her legacy. ","The death of Whitney Houston, a few Caribbean blogs talk about her talent, music and legacy.",27.875,True,43,27,19,112,121,77,0.38392857142857145,0.2231404958677686,0.24675324675324675,False,False,False,0.7037037037037037,False,False
"A pesar de su circulación nacional, algunos diarios prefieren prestar más atención a lo que sucede en otros países en la región. ","In spite of its national circulation, some newspapers choose to devote more coverage to other countries in the region. ",The circulation of the newspaper is not the only factor that determines the level of interest in the newspaper. The level of interest in the newspaper is also determined by the level of circulation.,13.5625,True,37,22,36,107,100,165,0.34579439252336447,0.22,0.21818181818181817,False,False,False,1.6363636363636365,False,False
"Arsen Kharatyan, que protestó frente a la Embajada Húngara en Washington, D.C., publicó una foto suya portando un afiche que decía ""Compra justicia en Hungría por US$2 mil millones"". ","Arsen Kharatyan, who protested in front of the Hungarian Embassy in Washington, D.C., shared a photo of himself holding a poster that read, ""Buy justice in Hungary for 2 bln. $."" ","""I am a citizen of Hungary, and I am here to protest against the US embassy in Hungary.""",27.875,True,61,46,21,154,148,71,0.3961038961038961,0.3108108108108108,0.29577464788732394,False,False,False,0.45652173913043476,False,False
Estado de Internet en Bolivia ,The State of the Internet in Bolivia · Global Voices ,Internet in Bolivia,185.0,True,8,13,4,25,43,17,0.32,0.3023255813953488,0.23529411764705882,False,False,False,0.3076923076923077,False,False
El gobierno parece estar sentado entre dos sillas - una situación muy inconfortable que quienes lo apoyan quieren que abandone. ,The government seem to be caught in the middle - a very uncomfortable position that their supporters would like them to vacate. ,The government seems to be sitting between two chairs - an extremely uncomfortable situation that those who support it want to abandon.,51.25,True,34,24,23,108,106,114,0.3148148148148148,0.22641509433962265,0.20175438596491227,False,False,False,0.9583333333333334,False,False
El debate sobre el escándalo de vigilancia traído a la luz por las revelaciones de Edward Snowden se está poniendo más intenso en Alemania. ,The debate about the surveillance scandal brought to light by Edward Snowden's revelations is getting more intense in Germany. ,The debate about the surveillance carried out by the light of the revelations of Edward Snowden is getting more intense in Germany.,25.0,True,37,22,23,116,108,110,0.31896551724137934,0.2037037037037037,0.20909090909090908,False,False,False,1.0454545454545454,False,False
Bolivia: Ex ministra demanda esclarecimiento de represión vía Facebook ,Bolivia: Former Minister Demands Investigation of Indigenous Repression · Global Voices ,Bolivia: Ex minister of justice demands clarification of repression via Facebook,79.5,True,22,18,14,62,77,70,0.3548387096774194,0.23376623376623376,0.2,False,False,False,0.7777777777777778,False,False
Hay rumores de que la Marina israelí incluso podría incendiar los barcos cuando entren la costa de Gaza en las próximas horas. ,There are rumours the Israeli Navy may even fire upon the ships as they enter the Gaza coast in the next few hours. ,The Israeli Navy is reportedly preparing to launch a massive attack on the Gaza Strip in the next few hours.,30.125,True,37,26,21,105,93,89,0.3523809523809524,0.27956989247311825,0.23595505617977527,False,False,False,0.8076923076923077,False,False
"Por ello, hemos encargado a un equipo independiente a nivel local que se dirija a los archivos y registre minuto a minuto cada uno de esos goles. ","What we are doing is, we have commissioned an independent team locally to go back into the archives and record minute-by-minute each of those goals. ",We have hired a local team to run the game at the local level.,22.375,True,44,32,15,119,124,49,0.3697478991596639,0.25806451612903225,0.30612244897959184,False,False,False,0.46875,False,False
“es una cultura tan opresiva - la manera en que se paran en la sombra de sus esposos. “ ,"""it's such an oppressive culture- the way they stand in the shadow of their husbands like that. "" ",“is a culture so opressive - the way it is kept in the shadow of its husbands. “,63.75,True,29,23,21,69,80,63,0.42028985507246375,0.2875,0.3333333333333333,False,False,False,0.9130434782608695,False,False
"@ibrahimbassion1 : La actual Constitución francesa, considerada una de la mejores del mudno, tuvo el 63% de los votos y eso que tiene muchos más artículos en discusión. ",The current French constitution which is considered one of the best constitutions in the world was voted for by 63% despite having far more articles that were disputed. ,"@ibrahimbassion1 : The actual French Constitution, considered one of the best in the mud, had the 63% of the votes and that has many more articles in discussion.",82.0,True,53,32,38,141,141,134,0.375886524822695,0.22695035460992907,0.2835820895522388,False,False,True,1.1875,False,False
APÉNDICE: Geo News proclama con orgullo su rol activo en hacer que YouTube fuera bloqueado de nuevo. ,ADDENDUM: Geo News is proudly proclaiming its role in getting YouTube banned again. ,,119.5,True,33,19,0,84,71,0,0.39285714285714285,0.2676056338028169,0.0,True,False,False,0.0,True,False
La web de noticias FN24.hu llevó a cabo una entrevista con el señor Balogh después de que el caso saliera a la luz pública. ,FN24.hu news site conducted an interview with Mr. Balogh after the case came to light. ,The news website FN24.hu held a press conference after the case was made public.,20.75,True,41,22,18,100,72,67,0.41,0.3055555555555556,0.26865671641791045,False,False,False,0.8181818181818182,False,False
"Khabgard escribe con ironía que el gobierno iraní, en los últimos días del año, les dio a los iraníes otro regalo: ""¡Cerraron nueve revistas!"" ","Khabgard writes with irony that the Iranian government, in the final days of last year, gave Iranians another gift: ""Nine magazines were shut down!"" ",,31.625,True,50,34,0,119,125,0,0.42016806722689076,0.272,0.0,True,False,False,0.0,True,False
Bozor Sobir es un conocido poeta tayiko que estuvo entre los fundadores del movimiento a favor de la democracia del país a comienzos de los años 90. ,Bozor Sobir is a well-known Tajik poet who was among the founders of the country's pro-democracy movement in the early 1990s. ,,29.625,True,43,34,0,122,105,0,0.3524590163934426,0.3238095238095238,0.0,True,False,False,0.0,True,False
"Lokotkova enfrenta una penalidad de 15 días de detención administrativa por ""vandalismo menor"" y no se sabía si esto afectaría sus planes de regresar a Saratov, donde estaba programada su declaración testimonial de nuevo en las audiencias de fraude electoral el 16 de abril. ","Lokotkova faces a 15-day administrative detention penalty for ""minor hooliganism,"" and it remains to be seen whether this will affect her planned return to Saratov, where she is scheduled to testify again in election fraud hearings today, April 16. ",,28.75,True,79,56,0,231,210,0,0.341991341991342,0.26666666666666666,0.0,True,False,False,0.0,True,False
A muchos les gustaría que la Ley de Tierras contemplara más formalmente lo que se conoce como Tara Bandu. ,Many would like the Land Law to more formally contemplate what is known as Tara Bandu. ,,56.25,True,33,20,0,87,71,0,0.3793103448275862,0.28169014084507044,0.0,True,False,False,0.0,True,False
"Blogworld sugiere que hay un vínculo entre ese conocimiento y la compensación necesaria para ""los esclavos y sus ancestros nunca se ha pagado por las creaciones de su trabajo"". ","Blogworld suggests that there is a link between that knowledge and required compensation for ""the slaves and their ancestors have never been paid for the generations of their labour."" ",,54.5,True,47,33,0,148,155,0,0.31756756756756754,0.2129032258064516,0.0,True,False,False,0.0,True,False
"Solamente imaginen, ¡la China comunista se está ofreciendo a financiar este tan necesario proyecto! ","And just imagine, communist China is offering to finance this much needed project! ",,60.0,True,28,16,0,86,70,0,0.32558139534883723,0.22857142857142856,0.0,True,False,False,0.0,True,False
Tomada de la página de apoyo de la Escuela de Awolia en Facebook ,From the Awolia School Support Page Facebook Page ,The page of support of the school in Facebook,82.0,True,21,10,9,52,42,37,0.40384615384615385,0.23809523809523808,0.24324324324324326,False,False,False,0.9,False,False
"El pueblo de Camboya quiere oír sobre lo que el futuro gobierno hará acerca de la actual crisis territorial, sobre cómo combatirá la corrupción y cómo fortalecerá las leyes a fin de que todos los camboyanos tengan acceso a la justicia. ","The Cambodian people want to hear what a future government will do about the current land crisis, how it will tackle corruption, how it will strengthen the rule of law to ensure that all Cambodians have access to justice. ","The people of Cambodia want to hear about what the future government will do about the current territorial crisis, about how it will combat corruption and strengthen the laws to ensure that all Cambodians have access to justice.",12.375,True,71,47,42,195,183,191,0.3641025641025641,0.2568306010928962,0.2198952879581152,False,False,False,0.8936170212765957,False,False
El usuario de Facebook Brendon J. O'Brien publicó una nota que atrajo varias docenas de respuestas (citado con permiso explícito del escritor): ,Facebook user Brendon J. O'Brien posted a note that attracted several dozen responses (quoted with explicit permission from the writer): ,The user of Facebook Brendon J. O'Brien posted a note that attracted several dozen responses (cited with explicit permission of the author).,37.0,True,46,29,30,122,117,119,0.3770491803278688,0.24786324786324787,0.25210084033613445,False,False,False,1.0344827586206897,False,False
Por esa razón estoy molesto porque aún no sé quién soy”. ,"For this reason I am peeved that I still don’t know who I am."" ",“I’m angry because I still don’t know who I am.”,43.75,True,18,20,16,46,49,39,0.391304347826087,0.40816326530612246,0.41025641025641024,False,False,False,0.8,False,False
"Atiende mis palabras y escúchalas porque puedes encontrar socorro y tomar fuerza de ellas en éste, el más cruel de los días. ",Heed my words and hearken unto them that you may find succour and draw strength from them on this most cruel of days. ,"I speak to you in the name of the Lord, because you can find help and strength in this, the cruelest of the days.",66.0,True,40,29,28,103,95,90,0.3883495145631068,0.30526315789473685,0.3111111111111111,False,False,False,0.9655172413793104,False,False
"Su danza bajo el agua tiene lugar en un contexto de rápido cambio social, donde la generalización de la educación formal, la consolidación progresiva de valores morales occidentales y la potencial apertura de medios de vida más atractivos no relacionados con el mar, parecen estar forjando una negociación social de las estrategias económicas domésticas iniciadas por antiguas generaciones durante los años 50. ","Their underwater dancing takes place in a context of rapid social change, where the generalization of the formal education, the progressive consolidation of western moral values and the potential openness of more attractive livelihoods not linked to the sea, seem to be forging a social negotiation of the household economic strategies initiated by the oldest generation during the 50´s. ",,20.75,True,108,68,0,349,329,0,0.30945558739255014,0.2066869300911854,0.0,True,False,False,0.0,True,False
"Desde Jordania, Ola Aliwat habla de un trágico accidente de carretera y de quién es el culpable. ","From Jordan, Ola Aliwat discusses a tragic road accident and who's to blame. ","From Jordania, Ola Aliwat speaks of a tragic accident and who is the culprit.",51.25,True,32,19,19,80,64,64,0.4,0.296875,0.296875,False,False,True,1.0,False,False
"The Voice of the Taino People Online acota que ""las autoridades francesas confiscaron un pedazo de la cultura taína, valorado tan alto como un millón de euros..."" ","The Voice of the Taino People Online notes that ""the French authorities confiscated a piece of the Taino culture valued as high as one million euros..."" ","The Voice of the Taino People Online acota that ""the French authorities confiscated a piece of the Taino culture, valued at such a high price as a million euros...""",44.5,True,45,34,38,136,127,136,0.33088235294117646,0.2677165354330709,0.27941176470588236,False,False,False,1.1176470588235294,False,False
@anikahahn: @_Jadranka_Kosor Tu amargura porque ya no puedes ser amante de nadie no es razón suficiente para cambiar la ley. ,@_Jadranka_Kosor Your bitterness because you can no longer be anyone's mistress isn't reason enough to change the law or ? ,@anikahahn: @_Jadranka_Kosor Tu amargura porque ya no puedes ser amante de nadie no es razón suficiente para cambiar la ley.,68.0,True,46,32,45,105,103,105,0.4380952380952381,0.3106796116504854,0.42857142857142855,False,False,True,1.40625,False,False
"Aunque en los distritos federales como Central, Volga y Urales la situación es casi normal (cerca de $30 lo que significa cerca del 5 al 7 por ciento del ingreso promedio en el 2007 y aún menos en el 2009), la situación es mucho peor en el Este remoto y en el Norte del Cáucaso donde el acceso a Internet no sólo tiene un costo mayor si no también es menos accesible. ","While in the Center, Volga and Urals federal districts the situation with the Internet is rather normal (about $30 for broadband, which is about 5-7 percent of the average income in 2007 and even less in 2009), the situation is much worse in the Far East and North Caucasus where Internet is not only expensive but also less accessible. ","The situation is almost normal in the Federal districts like Central, Volga and Urales, but the situation is much worse in the remote regions like the Far East and the Far North.",18.625,True,110,71,38,296,278,147,0.3716216216216216,0.25539568345323743,0.2585034013605442,False,False,False,0.5352112676056338,False,False
@TomTaylorMade: Gillard: 'Esto no es un episodio del programa Gran Hermano.' ,@TomTaylorMade: Gillard: 'This is not an episode of Celebrity Big Brother.' ,@TomTaylorMade: Gillard: 'This is not a program for the Gran Hermano.',105.0,True,25,21,20,66,65,60,0.3787878787878788,0.3230769230769231,0.3333333333333333,False,False,False,0.9523809523809523,False,False
Bandaranayake es académica y su falta de antecedentes en el ambito judicial había dado lugar a varias protestas de parte de abogados y jueces cuando fue designada en 2011. ,Bandaranayake is an academic and her lack of judicial background had led to several protests by lawyers and judges at the time of her appointment in 2011. ,The school is accredited by the National Council for Accreditation of Teacher Education (NCAE) and has a history of being accredited by the National Board for Professional Teaching Standards (NBPTS).,33.75,True,49,32,39,143,128,170,0.34265734265734266,0.25,0.22941176470588234,False,False,False,1.21875,False,False
Sus 5 episodios incluyen entrevistas con los oradores principales y los delegados de la conferencia. ,Their 5 episodes include interviews with leading keynote speakers and conference delegates. ,,46.0,True,28,15,0,86,80,0,0.32558139534883723,0.1875,0.0,True,False,False,0.0,True,False
"Durante su platica con UDAR , describió su posición política de la siguiente manera: ","During his talk with UDAR , he described his political self this way: ",,46.75,True,26,17,0,71,57,0,0.36619718309859156,0.2982456140350877,0.0,True,False,False,0.0,True,False
Un tribunal de justicia no puede proporcionar y no proporcionará nunca algo así. ,A court of law cannot provide and will never provide this. ,A court of justice cannot provide and will never provide anything like that.,37.0,True,23,13,14,68,48,64,0.3382352941176471,0.2708333333333333,0.21875,False,False,False,1.0769230769230769,False,False
